Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,IS_HAPPY
Azerbaijan,Commonwealth of Independent States,5.171,0.04,5.25,5.091,9.568999999999999,0.836,65.656,0.8140000000000001,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,0
Cameroon,Sub-Saharan Africa,5.142,0.07400000000000001,5.287999999999999,4.996,8.189,0.71,53.515,0.731,0.026000000000000002,0.848,2.43,0.5429999999999999,0.556,0.159,0.425,0.205,0.057999999999999996,3.195,0
Senegal,Sub-Saharan Africa,5.132000000000001,0.068,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.8009999999999999,2.43,0.518,0.5579999999999999,0.35700000000000004,0.381,0.158,0.08800000000000001,3.071,0
Albania,Central and Eastern Europe,5.117,0.059000000000000004,5.234,5.001,9.52,0.6970000000000001,68.999,0.785,-0.03,0.9009999999999999,2.43,1.008,0.529,0.6459999999999999,0.491,0.168,0.024,2.25,0
North Macedonia,Central and Eastern Europe,5.101,0.051,5.202000000000001,5.001,9.693,0.805,65.47399999999999,0.7509999999999999,0.038,0.905,2.43,1.068,0.772,0.535,0.45,0.212,0.022000000000000002,2.042,0
Ghana,Sub-Saharan Africa,5.088,0.067,5.218999999999999,4.958,8.58,0.727,57.586000000000006,0.807,0.12300000000000001,0.848,2.43,0.68,0.595,0.287,0.517,0.268,0.057999999999999996,2.6839999999999997,0
Niger,Sub-Saharan Africa,5.074,0.102,5.273,4.875,7.098,0.6409999999999999,53.78,0.8059999999999999,0.018000000000000002,0.693,2.43,0.162,0.402,0.16699999999999998,0.516,0.2,0.157,3.47,0
Turkmenistan,Commonwealth of Independent States,5.066,0.036000000000000004,5.136,4.996,9.629,0.983,62.409,0.877,0.273,0.888,2.43,1.046,1.172,0.439,0.602,0.366,0.033,1.409,0
Gambia,Sub-Saharan Africa,5.051,0.08900000000000001,5.225,4.877,7.686,0.69,55.16,0.6970000000000001,0.424,0.746,2.43,0.36700000000000005,0.511,0.21,0.384,0.465,0.12300000000000001,2.99,0
Benin,Sub-Saharan Africa,5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.6609999999999999,2.43,0.507,0.057999999999999996,0.196,0.457,0.166,0.17800000000000002,3.4819999999999998,0
Laos,Southeast Asia,5.03,0.045,5.119,4.941,8.947000000000001,0.728,58.968,0.91,0.12300000000000001,0.6579999999999999,2.43,0.8079999999999999,0.598,0.33,0.643,0.268,0.179,2.204,0
Bangladesh,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.040999999999999995,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.16399999999999998,2.427,0
Guinea,Sub-Saharan Africa,4.984,0.09,5.16,4.808,7.837999999999999,0.639,55.008,0.6970000000000001,0.095,0.7659999999999999,2.43,0.42,0.39899999999999997,0.20600000000000002,0.384,0.25,0.111,3.216,0
South Africa,Sub-Saharan Africa,4.956,0.06,5.074,4.8389999999999995,9.402999999999999,0.86,56.903999999999996,0.7490000000000001,-0.067,0.86,2.43,0.9670000000000001,0.895,0.265,0.447,0.14400000000000002,0.051,2.187,0
Turkey,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.8220000000000001,67.199,0.5760000000000001,-0.139,0.7759999999999999,2.43,1.26,0.809,0.59,0.23600000000000002,0.09699999999999999,0.10400000000000001,1.8519999999999999,0
Pakistan,South Asia,4.934,0.068,5.066,4.802,8.458,0.6509999999999999,58.708999999999996,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.09699999999999999,2.784,0
Morocco,Middle East and North Africa,4.918,0.06,5.0360000000000005,4.8,8.902999999999999,0.56,66.208,0.774,-0.23600000000000002,0.8009999999999999,2.43,0.792,0.21899999999999997,0.5579999999999999,0.47700000000000004,0.034,0.08800000000000001,2.7489999999999997,0
Venezuela,Latin America and Caribbean,4.8919999999999995,0.064,5.0169999999999995,4.7669999999999995,9.073,0.861,66.7,0.615,-0.16899999999999998,0.8270000000000001,2.43,0.852,0.897,0.574,0.284,0.078,0.07200000000000001,2.135,0
Georgia,Commonwealth of Independent States,4.891,0.054000000000000006,4.998,4.785,9.585,0.6709999999999999,64.3,0.7829999999999999,-0.23800000000000002,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.18100000000000002,2.191,0
Algeria,Middle East and North Africa,4.887,0.053,4.9910000000000005,4.783,9.342,0.802,66.005,0.48,-0.067,0.752,2.43,0.946,0.765,0.552,0.11900000000000001,0.14400000000000002,0.12,2.242,0
Ukraine,Commonwealth of Independent States,4.875,0.052000000000000005,4.977,4.773,9.436,0.888,64.902,0.7240000000000001,-0.011000000000000001,0.924,2.43,0.9790000000000001,0.958,0.517,0.41700000000000004,0.18100000000000002,0.01,1.8130000000000002,0
Iraq,Middle East and North Africa,4.854,0.059000000000000004,4.97,4.738,9.24,0.746,60.583,0.63,-0.053,0.875,2.43,0.91,0.638,0.381,0.302,0.153,0.040999999999999995,2.4290000000000003,0
Gabon,Sub-Saharan Africa,4.852,0.075,4.998,4.706,9.603,0.7759999999999999,59.961999999999996,0.731,-0.2,0.84,2.43,1.037,0.7070000000000001,0.36200000000000004,0.424,0.057999999999999996,0.064,2.201,0
Burkina Faso,Sub-Saharan Africa,4.834,0.081,4.993,4.675,7.678,0.672,54.151,0.695,-0.009000000000000001,0.748,2.43,0.364,0.47200000000000003,0.179,0.381,0.182,0.122,3.133,0
Cambodia,Southeast Asia,4.83,0.067,4.963,4.698,8.36,0.765,62.0,0.9590000000000001,0.034,0.843,2.43,0.603,0.68,0.426,0.7020000000000001,0.21,0.061,2.148,0
